,name,locality,rank,median_vce_study_score,percentage_study_scores40and_more,school_sector,location
121,Our Lady of Sion College,Box Hill,69,33,12.7,Catholic,Major Cities
122,Oxley Christian College,Chirnside Park,107,32,8.7,Independent,Major Cities
123,Peninsula Grammar,Mount Eliza,99,32,10,Independent,Major Cities
124,Presbyterian Ladies' College,Burwood,6,36,31.7,Independent,Major Cities
125,Ruyton Girls' School,Kew,5,37,29.9,Independent,Major Cities
126,Sacre Coeur,Glen Iris,16,36,26.5,Catholic,Major Cities
127,Sacred Heart Girls' College,Hughesdale,93,32,10.9,Catholic,Major Cities
128,Santa Maria College,Northcote,137,31,7.9,Catholic,Major Cities
129,Scotch College,Hawthorn,31,35,21.6,Independent,Major Cities
130,Shelford Girls' Grammar,Caulfield,30,35,22.3,Independent,Major Cities
131,Southern Cross Grammar,Caroline Springs,157,31,4.6,Independent,Major Cities
132,St Andrews Christian College,Wantirna South,135,31,8.2,Independent,Major Cities
133,St Catherine's School,Toorak,35,35,19.6,Independent,Major Cities
134,St Columba's College,Essendon,85,32,12.2,Catholic,Major Cities
135,St Kevin's College,Toorak,7,36,30.2,Catholic,Major Cities
136,St Leonard's College,Brighton East,43,34,20.1,Independent,Major Cities
137,St Margaret's School,Berwick,51,34,17.2,Independent,Major Cities
138,St Michael's Grammar School,St Kilda,58,34,15.3,Independent,Major Cities
139,Star of the Sea College,Brighton,54,34,16.5,Catholic,Major Cities
140,The Geelong College,Newtown,65,33,15.2,Independent,Major Cities
141,The King David School,Armadale,27,35,23.1,Independent,Major Cities
142,The Knox School,Wantirna South,110,32,8.4,Independent,Major Cities
143,Toorak College,Mount Eliza,45,34,19.2,Independent,Major Cities
144,Trinity Grammar School,Kew,32,35,21.2,Independent,Major Cities
145,Victory Lutheran College,West Wodonga,294,28,4.2,Independent,Inner Regional
146,Waverley Christian College,Wantirna South,76,33,10.8,Independent,Major Cities
147,Wesley College,Melbourne,98,32,10.1,Independent,Major Cities
148,Wesley College,Glen Waverley,108,32,8.7,Independent,Major Cities
149,Westbourne Grammar School,Truganina,55,34,16.5,Independent,Major Cities
150,Woodleigh School,Langwarrin South,118,31,12.4,Independent,Major Cities
151,Xavier College,Kew,53,34,17,Catholic,Major Cities
152,Yeshivah College,St Kilda East,63,33,15.6,Independent,Major Cities
153,Yesodei HaTorah College,Brighton,38,34,24,Independent,Major Cities
