name,locality,numberOfYear12SubjectsTakenByStudents,numberOfVetCertificatesWith2016Enrolments,numberOfStudentsEnrolledInYear12Units,numberOfStudentsEnrolledInVet,numberOfStudentsEnrolledInVcal,percentageVceStudentsApplyingForTertiaryPlaces,percentageSatisfactoryVceCompletions,numberOfStudentsAwardedVceBaccalaureate,percentageVetUnitsOfCompetencyCompleted,percentageVcalUnitsCompleted,medianVceStudyScore,percentageStudyScores40AndMore,rank,numberOfYear12SubjectsTakenByStudentsChange,numberOfVetCertificatesWith2016EnrolmentsChange,numberOfStudentsEnrolledInYear12UnitsChange,numberOfStudentsEnrolledInVetChange,numberOfStudentsEnrolledInVcalChange,percentageVceStudentsApplyingForTertiaryPlacesChange,percentageSatisfactoryVceCompletionsChange,numberOfStudentsAwardedVceBaccalaureateChange,percentageVetUnitsOfCompetencyCompletedChange,percentageVcalUnitsCompletedChange,medianVceStudyScoreChange,percentageStudyScores40AndMoreChange,rankChange
Ballarat SC - Woodmans Hill,Ballarat East,26,14,37,34,26,52,95,NA,72,53,24,1.3,488,-8,-1,-18,14,-17,-3,1,NA,-25,-24,-4,1.3,-148
Balwyn High School,Balwyn North,53,3,668,5,NA,94,99,90,97,NA,34,19.3,44,6,1,50,-1,NA,1,0,15,-3,NA,0,-1.9,-1
Bayside Christian College,Langwarrin South,36,23,62,47,36,75,100,NA,91,99,29,3.9,242,0,3,-10,1,-6,-15,0,NA,-5,1,-1,0.8,-36
Bayside P-12 College,Newport,53,23,132,76,42,72,92,4,83,91,29,3.9,243,5,2,-9,-48,-1,2,1,0,0,6,1,1.2,76
Bayswater Secondary College,Bayswater,17,11,31,22,13,47,93,NA,56,73,22,0,526,-5,-3,-4,0,-5,-20,-7,NA,-21,3,0,0,-6
Bayview College,Portland,17,8,42,9,8,87,100,NA,100,100,29,3.2,251,-4,1,-13,-1,2,18,0,NA,9,10,0,-0.5,14
Beaconhills College,Berwick,40,8,224,10,NA,89,100,8,99,NA,31,6.4,152,-1,2,-4,3,NA,4,1,1,-1,NA,0,-1,-8
Beaconhills College,Pakenham,37,1,177,Less than 4,NA,75,97,3,ID,NA,30,5.4,186,2,NA,4,NA,NA,-17,-3,-5,NA,NA,-1,-0.4,-34
Beaufort Secondary College,Beaufort,21,13,26,26,17,82,100,NA,79,48,27,0,391,-2,3,-9,1,-1,32,17,NA,12,-33,0,-3.9,-34
Beechworth Secondary College,Beechworth,22,5,50,36,12,70,100,3,90,78,25,2.2,457,-3,-5,1,-13,0,-16,9,0,18,9,-3,1.3,-120
Belgrave Heights Christian Schl,Belgrave Heights,28,10,123,56,11,79,100,NA,84,97,29,3,255,1,4,13,21,NA,4,0,NA,-7,NA,-1,-4.2,-84
Bellarine Secondary College,Drysdale,67,46,171,412,111,81,98,2,67,78,26,1.7,421,7,7,-32,-17,5,24,4,1,-10,0,-1,-0.5,-37
Belmont High School,Belmont,77,37,334,252,49,63,99,2,89,79,27,5.3,343,-1,2,5,-17,-8,-8,1,-2,1,-1,-1,-0.7,-56
