Ranking, School Name, State, School Sector, Location, Total Enrolment, Combined Score As Percentage of Number One School In Australia Regardless of School Sector, ,
57, Kingswood College, VIC, Independent, Major Cities,567,81.67%, ,
,,,,,,,,
,,,,,,,,
58, Goulburn Valley Grammar School, VIC, Independent, Inner Regional,693,81.53%, ,
,,,,,,,,
,,,,,,,,
59, Beth Rivkah Ladies College, VIC, Independent, Major Cities,590,81.50%, ,
,,,,,,,,
,,,,,,,,
60, Peninsula Grammar, VIC, Independent, Major Cities,1282,81.47%, ,
,,,,,,,,
,,,,,,,,
61, The Geelong College, VIC, Independent, Major Cities,1247,81.39%, ,
,,,,,,,,
,,,,,,,,
62, Siena College Ltd, VIC, Catholic, Major Cities,742,81.37%, ,
,,,,,,,,
,,,,,,,,
63, St Paul's Anglican Grammar School, VIC, Independent, Inner Regional,1259,81.35%, ,
,,,,,,,,
,,,,,,,,
64, Bacchus Marsh Grammar, VIC, Independent, Inner Regional,1986,81.16%, ,
,,,,,,,,
,,,,,,,,
65, The Knox School, VIC, Independent, Major Cities,567,81.15%, ,
,,,,,,,,
,,,,,,,,
66, Our Lady of Sion College, VIC, Catholic, Major Cities,932,81.08%, ,
,,,,,,,,
,,,,,,,,
67, Braemar College, VIC, Independent, Inner Regional,845,81.05%, ,
,,,,,,,,
,,,,,,,,
68, Avila College, VIC, Catholic, Major Cities,1079,81.02%, ,
,,,,,,,,
,,,,,,,,
69, Yeshivah College, VIC, Independent, Major Cities,386,81.01%, ,
,,,,,,,,
,,,,,,,,
70, Alphington Grammar School, VIC, Independent, Major Cities,525,80.98%, ,
,,,,,,,,
,,,,,,,,
71, Ivanhoe Grammar School, VIC, Independent, Major Cities,1913,80.97%, ,
,,,,,,,,
,,,,,,,,
72, St Columba's College, VIC, Catholic, Major Cities,1033,80.95%, ,
,,,,,,,,
,,,,,,,,
73, Star of the Sea College, VIC, Catholic, Major Cities,1133,80.88%, ,
,,,,,,,,
,,,,,,,,
74, Eltham College, VIC, Independent, Major Cities,597,80.88%, ,
,,,,,,,,
,,,,,,,,
75, Santa Maria College, VIC, Catholic, Major Cities,920,80.77%, ,
,,,,,,,,
,,,,,,,,
76, Girton Grammar School, VIC, Independent, Inner Regional,1141,80.76%, ,
,,,,,,,,
,,,,,,,,
77, Mazenod College, VIC, Catholic, Major Cities,1387,80.73%, ,
,,,,,,,,
,,,,,,,,
78, Creek Street Christian College, VIC, Independent, Inner Regional,260,80.64%, ,
,,,,,,,,
,,,,,,,,
79, Woodleigh School, VIC, Independent, Major Cities,945,80.64%, ,
,,,,,,,,
,,,,,,,,
80, Our Lady of the Sacred Heart College, VIC, Catholic, Major Cities,645,80.61%, ,
,,,,,,,,
,,,,,,,,
81, Ballarat Grammar, VIC, Independent, Inner Regional,1423,80.61%, ,
,,,,,,,,
,,,,,,,,
82, Luther College, VIC, Independent, Major Cities,1181,80.60%, ,
,,,,,,,,
,,,,,,,,
83, Gippsland Grammar, VIC, Independent, Inner Regional,937,80.55%, ,
,,,,,,,,
,,,,,,,,
84, Glenvale School, VIC, Independent, Major Cities,579,80.55%, ,
,,,,,,,,
,,,,,,,,
85, Holy Trinity Lutheran School, VIC, Independent, Outer Regional,479,80.54%, ,
,,,,,,,,
,,,,,,,,
86, Oxley Christian College, VIC, Independent, Major Cities,827,80.53%, ,
,,,,,,,,
,,,,,,,,
87, Casey Grammar School, VIC, Independent, Major Cities,807,80.49%, ,
,,,,,,,,
,,,,,,,,
88, Our Lady of Mercy College, VIC, Catholic, Major Cities,1173,80.46%, ,
,,,,,,,,
,,,,,,,,
89, Southern Cross Grammar, VIC, Independent, Major Cities,532,80.38%, ,
,,,,,,,,
,,,,,,,,
90, St Michael's Grammar School, VIC, Independent, Major Cities,1203,80.18%, ,
,,,,,,,,
,,,,,,,,
91, Darul Ulum College of Victoria, VIC, Independent, Major Cities,1059,80.17%, ,
,,,,,,,,
,,,,,,,,
92, Northside Christian College, VIC, Independent, Major Cities,319,80.12%, ,
,,,,,,,,
,,,,,,,,
93, Nunawading Christian College - Secondary, VIC, Independent, Major Cities,171,80.09%, ,
,,,,,,,,
,,,,,,,,
94, Victory Lutheran College, VIC, Independent, Inner Regional,716,80.09%, ,
,,,,,,,,
,,,,,,,,
95, Academy of Mary Immaculate, VIC, Catholic, Major Cities,622,80.07%, ,
,,,,,,,,
,,,,,,,,
96, King's College, VIC, Independent, Inner Regional,212,79.94%, ,
,,,,,,,,
,,,,,,,,
97, Geelong Grammar School, VIC, Independent, Major Cities,1448,79.88%, ,
,,,,,,,,
,,,,,,,,
98, Hume Anglican Grammar, VIC, Independent, Major Cities,1018,79.87%, ,
,,,,,,,,
,,,,,,,,
99, Loreto College, VIC, Catholic, Inner Regional,918,79.83%, ,
,,,,,,,,
,,,,,,,,
100, Sophia Mundi Steiner School, VIC, Independent, Major Cities,175,79.83%, ,
